index,Drug_Name,Reason,Description,Treatment
1,Benzoyl Peroxide (5% gel),Acne,Topical treatment for acne,Apply benzoyl peroxide 5% gel to affected areas daily. Use gentle cleansers and avoid picking or squeezing pimples. Maintain a healthy diet with plenty of water and avoid excessive sun exposure.
2,Salicylic Acid (2% solution),Acne,Exfoliating treatment for acne,Use salicylic acid 2% solution to cleanse pores and reduce acne. Apply once daily and avoid over-drying the skin. Incorporate antioxidants into your diet and practice stress-reducing activities like yoga or meditation.
3,Adapalene (0.1% gel),Acne,Prescription acne treatment,Apply adapalene 0.1% gel at night for acne control. Use non-comedogenic moisturizers and avoid heavy makeup. Increase intake of fruits and vegetables rich in vitamins A and C.
4,Oral Antibiotics (e.g. Doxycycline),Acne,Systemic treatment for severe acne,Take oral antibiotics like doxycycline as prescribed by a dermatologist. Follow a low-glycemic diet and maintain a regular skincare routine. Avoid smoking and excessive alcohol consumption.
5,Antihistamines (e.g. Loratadine),Allergies,Relief from allergy symptoms,Take loratadine or similar antihistamines for seasonal or food allergies. Avoid allergens by keeping windows closed during pollen season. Include omega-3 fatty acids in your diet for anti-inflammatory effects.
6,Intranasal Corticosteroids (e.g. Fluticasone),Allergies,Allergy symptom prevention,Use intranasal corticosteroids like fluticasone daily to reduce nasal inflammation. Keep indoor air clean and avoid pet dander. Exercise regularly to boost immunity.
7,Epinephrine Auto-injector (e.g. EpiPen),Allergies,Emergency treatment for severe allergies,Carry an epinephrine auto-injector for severe allergic reactions. Follow a strict avoidance plan for identified food allergens. Wear a medical alert bracelet for safety.
8,Allergy Immunotherapy (Allergy Shots),Allergies,Long-term allergy management,Undergo allergy immunotherapy (allergy shots) to build tolerance to specific allergens. Maintain a diary of symptoms and allergen exposure. Practice relaxation techniques for stress reduction.
9,Cholinesterase Inhibitors (e.g. Donepezil),Alzheimer’s Disease,Medication for cognitive symptoms,Take cholinesterase inhibitors like donepezil for Alzheimer's disease. Engage in cognitive exercises and maintain a structured daily routine. Ensure home safety measures are in place.
10,Memantine (10 mg tablet),Alzheimer’s Disease,Medication for moderate to severe Alzheimer’s,Use memantine 10 mg tablet for advanced Alzheimer's symptoms. Promote brain health with omega-3 fatty acids and antioxidants. Implement safety precautions at home to prevent falls.
